"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"Q"	"1"	"Sarah : Mathematics is the most difficult subject. No wonder a lot of students fail
the test. John : That’s absolutely right. If we know the right way to study, we
won’t find it too difficult.
Sarah : You’re right. I think we still have to find the ____way to study.&nbsp;"	""	"S"	"1"	"6"	"0"	"0"	"0"	"0"
"A"	"1"	"good"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"best"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"better"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"gooder"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Dany and Dana must wear glasses their gadgets.&nbsp;"	""	"S"	"1"	"7"	"0"	"0"	"0"	"0"
"A"	"1"	"for"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"therefore"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"because"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"because of"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Makaila has not … her homework yet.&nbsp;"	""	"S"	"1"	"8"	"0"	"0"	"0"	"0"
"A"	"1"	"finished"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"finish"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"finishing"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"finishes"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"If you my book, please return it after reading it&nbsp;"	""	"S"	"1"	"9"	"0"	"0"	"0"	"0"
"A"	"1"	"borrows"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"borrowed"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"will borrow"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"borrow"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"One of my friend lives in Pangndaran. There is Pangandaran Beach there. It is located in West Java . Pangandaran beach has beautiful scenery. This beach has white sand. In Pangandaran Beach, we can see beautiful waves, boats, assorted shellfish, and fish. Pangandaran Beach is very famous in Indonesia. This beach is the most visited while on vacation. The purpose of the text is______.&nbsp;"	""	"S"	"1"	"10"	"0"	"0"	"0"	"0"
"A"	"1"	"Tell a past event."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Describe a place."	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Persuade readers."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Report a place."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Siti has just got the first prize in the “Bakiak Race” to celebrate Indonesia Independence day. Beni congratulates her. What does Beni say to congratulate Siti? Beni : _________________ Siti : Thank you.&nbsp;"	""	"S"	"1"	"11"	"0"	"0"	"0"	"0"
"A"	"1"	"Sure, good luck!"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Congratulate to Siti."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Congratulations, Siti."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Thanks, I’ll do my best."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Tom : Wow ... That house is very big. Sam : And lovely, isn’t it ? Tom : Right, I hope someday I have one like that. Sam : _________________ The right sentence to complete the dialogue is___&nbsp;"	""	"S"	"1"	"12"	"0"	"0"	"0"	"0"
"A"	"1"	"Just buy the house."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Buy the house if you want."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"If you want to have one, you should save your money."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"If you will have money, buy it."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Waiter : Under what name would you like the reservation? Hasan : Siregar. Hasan Siregar. Waiter : ________________ Hasan : Yes, it is 085212345617.&nbsp;"	""	"S"	"1"	"13"	"0"	"0"	"0"	"0"
"A"	"1"	"May I have your phone number?"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Can I tell you my phone number?"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Should you write your phone number?"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Will you speak about your phone number?"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Ihsan : ______________ Pedestrian: The nearest post office is about one kilometer from here. Head to the north. It's next to a workshop. Ihsan : Okay, thank you.&nbsp;"	""	"S"	"1"	"14"	"0"	"0"	"0"	"0"
"A"	"1"	"Excuse me, do you know where the bus station is?"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Hello sir, are you going to a post office?"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Excuse me, how far is the post office from here?"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Keep driving until the intersection, the post office is on the corner."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Deri : Would you like dinner with me tonight ? Rina : Thank you. I’d love to. From the dialogue above we conclude that ....&nbsp;"	""	"S"	"1"	"15"	"0"	"0"	"0"	"0"
"A"	"1"	"Rina declines the invitation."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Deri wants to have dinner"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Deri invites Rina to have dinner together."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Rina loves Deri."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 16
Shinta : I heard you won the first prize for your short story. _______(16) Wulan : _________ (17). Shinta : As your friend, I’m ________(18). Wulan : Thank you. Shinta : You deserve it because it’s a very good story. Wulan : Thank you.&nbsp;"	""	"S"	"1"	"16"	"0"	"0"	"0"	"0"
"A"	"1"	"Congratulations!"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Thank you"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Very proud of you"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Really?"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 17
Shinta : I heard you won the first prize for your short story. _______(16) Wulan : _________ (17). Shinta : As your friend, I’m ________(18). Wulan : Thank you. Shinta : You deserve it because it’s a very good story. Wulan : Thank you.&nbsp;"	""	"S"	"1"	"17"	"0"	"0"	"0"	"0"
"A"	"1"	"Very proud of you."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Congratulation!"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Thank you."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"That’s a pity."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 18
Shinta : I heard you won the first prize for your short story. _______(16) Wulan : _________ (17). Shinta : As your friend, I’m ________(18). Wulan : Thank you. Shinta : You deserve it because it’s a very good story. Wulan : Thank you.&nbsp;"	""	"S"	"1"	"18"	"0"	"0"	"0"	"0"
"A"	"1"	"very proud of you"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"thank you very much."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"really"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"sure"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Kiki : Using smart phone gives a lot of benefits. I don’t think I could live without it. Susi : ______ It also has some bad impacts. That’s why we must be wise.&nbsp;"	""	"S"	"1"	"19"	"0"	"0"	"0"	"0"
"A"	"1"	"I really think so."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"I think differently."	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"I really agree with you."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"I couldn’t agree more."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Kanaya : It’s very hot here. ________ Nadira : Sure. No problem. The suitable expression to complete the dialogue is …&nbsp;"	""	"S"	"1"	"20"	"0"	"0"	"0"	"0"
"A"	"1"	"Could you close the door?"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Would you mind if I turn off the fan?"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Would you turn off the fan?"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Would you mind if I turn on the fan?"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 21
This text is for questions 21 to 24. Long, long ago, when ______ (21) gods and goddesses used to mingle in the affairs of mortals, there was a small kingdom on the slope of Mount Wayang in West Java. The King, named Sang Prabu, was a wise man. He had an only daughter, called Princess Teja Nirmala, who was ________(22) for her beauty but she was not married. One day Sang Prabu made up his mind to settle the matter by a show of strength. After that, Prince of Blambangan, named Raden Begawan had won the competition. ________(23), the wicked fairy, Princess Segara fell in love with Raden Begawan and used magic power to render him unconscious and he forgot his wedding. When Sang Prabu was searching, Raden Begawan saw him and soon realized that he had been enchanted by the wicked fairy. The fairy could not accept this, so she ________(24) Raden Begawan. When Princess Teja Nirmala heard this, she was very sad. So a nice fairy took her to the Kahyangan&nbsp;"	""	"S"	"1"	"21"	"0"	"0"	"0"	"0"
"A"	"1"	"a"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"an"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"the"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"some"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 22
This text is for questions 21 to 24. Long, long ago, when ______ (21) gods and goddesses used to mingle in the affairs of mortals, there was a small kingdom on the slope of Mount Wayang in West Java. The King, named Sang Prabu, was a wise man. He had an only daughter, called Princess Teja Nirmala, who was ________(22) for her beauty but she was not married. One day Sang Prabu made up his mind to settle the matter by a show of strength. After that, Prince of Blambangan, named Raden Begawan had won the competition. ________(23), the wicked fairy, Princess Segara fell in love with Raden Begawan and used magic power to render him unconscious and he forgot his wedding. When Sang Prabu was searching, Raden Begawan saw him and soon realized that he had been enchanted by the wicked fairy. The fairy could not accept this, so she ________(24) Raden Begawan. When Princess Teja Nirmala heard this, she was very sad. So a nice fairy took her to the Kahyangan&nbsp;"	""	"S"	"1"	"22"	"0"	"0"	"0"	"0"
"A"	"1"	"good"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"famous"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"beautiful"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"nice"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 23
This text is for questions 21 to 24. Long, long ago, when ______ (21) gods and goddesses used to mingle in the affairs of mortals, there was a small kingdom on the slope of Mount Wayang in West Java. The King, named Sang Prabu, was a wise man. He had an only daughter, called Princess Teja Nirmala, who was ________(22) for her beauty but she was not married. One day Sang Prabu made up his mind to settle the matter by a show of strength. After that, Prince of Blambangan, named Raden Begawan had won the competition. ________(23), the wicked fairy, Princess Segara fell in love with Raden Begawan and used magic power to render him unconscious and he forgot his wedding. When Sang Prabu was searching, Raden Begawan saw him and soon realized that he had been enchanted by the wicked fairy. The fairy could not accept this, so she ________(24) Raden Begawan. When Princess Teja Nirmala heard this, she was very sad. So a nice fairy took her to the Kahyangan&nbsp;"	""	"S"	"1"	"23"	"0"	"0"	"0"	"0"
"A"	"1"	"Unfortunately"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"Luckily"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Actually"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Happily"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 24
This text is for questions 21 to 24. Long, long ago, when ______ (21) gods and goddesses used to mingle in the affairs of mortals, there was a small kingdom on the slope of Mount Wayang in West Java. The King, named Sang Prabu, was a wise man. He had an only daughter, called Princess Teja Nirmala, who was ________(22) for her beauty but she was not married. One day Sang Prabu made up his mind to settle the matter by a show of strength. After that, Prince of Blambangan, named Raden Begawan had won the competition. ________(23), the wicked fairy, Princess Segara fell in love with Raden Begawan and used magic power to render him unconscious and he forgot his wedding. When Sang Prabu was searching, Raden Begawan saw him and soon realized that he had been enchanted by the wicked fairy. The fairy could not accept this, so she ________(24) Raden Begawan. When Princess Teja Nirmala heard this, she was very sad. So a nice fairy took her to the Kahyangan&nbsp;"	""	"S"	"1"	"24"	"0"	"0"	"0"	"0"
"A"	"1"	"kill"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"kills"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"was killing"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"killed"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 25 
In accordance with the international security regulations, the following items are never ____ (25) to be taken onto a plane by passengers, either in their carry-on bags ____ (26) in their checked luggage: weapons, including knives and guns; explosive, including dynamit and fireworks. The following items may be placed _____(27) checked luggage but not to carry-on bags. Tools, including including hammers, screwdrivers, and wrenches; sport equipment such as golf clubs, bas ballbats, skis and ski poles. When you pass the security line, all bags will go through our X ray machines and some bags will be manually checked by personnel, as well. Thank you for your ____ (28). Have a safe and pleasant flight.&nbsp;"	""	"S"	"1"	"25"	"0"	"0"	"0"	"0"
"A"	"1"	"allow"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"allowed"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"allowing"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"allows"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 26
In accordance with the international security regulations, the following items are never ____ (25) to be taken onto a plane by passengers, either in their carry-on bags ____ (26) in their checked luggage: weapons, including knives and guns; explosive, including dynamit and fireworks. The following items may be placed _____(27) checked luggage but not to carry-on bags. Tools, including including hammers, screwdrivers, and wrenches; sport equipment such as golf clubs, bas ballbats, skis and ski poles. When you pass the security line, all bags will go through our X ray machines and some bags will be manually checked by personnel, as well. Thank you for your ____ (28). Have a safe and pleasant flight.&nbsp;"	""	"S"	"1"	"26"	"0"	"0"	"0"	"0"
"A"	"1"	"or"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"nor"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"and"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"but"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 27
In accordance with the international security regulations, the following items are never ____ (25) to be taken onto a plane by passengers, either in their carry-on bags ____ (26) in their checked luggage: weapons, including knives and guns; explosive, including dynamit and fireworks. The following items may be placed _____(27) checked luggage but not to carry-on bags. Tools, including including hammers, screwdrivers, and wrenches; sport equipment such as golf clubs, bas ballbats, skis and ski poles. When you pass the security line, all bags will go through our X ray machines and some bags will be manually checked by personnel, as well. Thank you for your ____ (28). Have a safe and pleasant flight.&nbsp;"	""	"S"	"1"	"27"	"0"	"0"	"0"	"0"
"A"	"1"	"in"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"on"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"of"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"to"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 28
In accordance with the international security regulations, the following items are never ____ (25) to be taken onto a plane by passengers, either in their carry-on bags ____ (26) in their checked luggage: weapons, including knives and guns; explosive, including dynamit and fireworks. The following items may be placed _____(27) checked luggage but not to carry-on bags. Tools, including including hammers, screwdrivers, and wrenches; sport equipment such as golf clubs, bas ballbats, skis and ski poles. When you pass the security line, all bags will go through our X ray machines and some bags will be manually checked by personnel, as well. Thank you for your ____ (28). Have a safe and pleasant flight.&nbsp;"	""	"S"	"1"	"28"	"0"	"0"	"0"	"0"
"A"	"1"	"coorporating"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"coorporate"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"coorporation"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"coorporated"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 29
Why does the sender write the letter?&nbsp;"	""	"S"	"1"	"29"	"0"	"0"	"0"	"0"
"A"	"1"	"To apply for a certain position"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"To provide inputs for the company"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"To give information about his specialty"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"To tell the readers about his experience"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 30
What does the sender possibly do after sending the letter?&nbsp;"	""	"S"	"1"	"30"	"0"	"0"	"0"	"0"
"A"	"1"	"Complete his first degree"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Work as a marketing specialist"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Call the recipient for the confirmation"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Wait for the response of the company"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 31
Hoping to hear from you soon, I enclose my curriculum vitae and recent photograph. (last paragraph) The underlined word has the same meaning with...&nbsp;"	""	"S"	"1"	"31"	"0"	"0"	"0"	"0"
"A"	"1"	"latest"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"oldest"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"best"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"worst"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 32
Which of the following activities done by hackers is considered illegal?&nbsp;"	""	"S"	"1"	"32"	"0"	"0"	"0"	"0"
"A"	"1"	"Finding the strenght and weaknesses of a computer system"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Helping the police catch the white collar criminals"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Breaking into vital institutions network system"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Helping to improve the safety system of computer"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 33
We can infer from the text that hackers .....&nbsp;"	""	"S"	"1"	"33"	"0"	"0"	"0"	"0"
"A"	"1"	"Do something without any crime"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Always help the police to againts criminals"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Do something crime"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Can turn to be criminals due to the money orientation"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 34
..., and the worst thing is they can get secret information,… The antonym of the word “worst” is…&nbsp;"	""	"S"	"1"	"34"	"0"	"0"	"0"	"0"
"A"	"1"	"best"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"worse"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"hardest"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"baddest"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 35
What is the purpose of the invitation letter above?&nbsp;"	""	"S"	"1"	"35"	"0"	"0"	"0"	"0"
"A"	"1"	"To tell Daniel Mahardika about the Lentera Warna’s anniversary"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"To invite Daniel Mahardika to attend the fifth anniversary event of Lentera Warna."	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"To persuade Daniel Mahardika to join the Lentera Warna’s business"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"To announce the anniversary of PT. Lentera Warna and PT. Karya Gemilang."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 36
From the text above, we can infer that . . .&nbsp;"	""	"S"	"1"	"36"	"0"	"0"	"0"	"0"
"A"	"1"	"PT. Karya Gemilang is the opposite of PT. Lentera Warna."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"PT. Lentera Warna has supported PT. Karya Gemilang since 2018."	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"PT. Karya Gemilang and PT. Lentera Warna have been business partners for five years."	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"PT. Karya Gemilang and PT. Lentera Warna are celebrating their companion"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Soal No. 37
What does RSVP mean?&nbsp;"	""	"S"	"1"	"37"	"0"	"0"	"0"	"0"
"A"	"1"	"Come if you want."	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Respond whether you can come or not."	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"Send an email when you accept the invitation."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Call to cancel."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"What is the best title for the text?&nbsp;"	""	"S"	"1"	"38"	"0"	"0"	"0"	"0"
"A"	"1"	"How to operate a camera"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"How to record with a camera"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"How to turn off the camera"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"How to end a session"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"What do you have to do if you want to log out?&nbsp;"	""	"S"	"1"	"39"	"0"	"0"	"0"	"0"
"A"	"1"	"Click “Record”"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Click “Pause”"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Click “End Session”"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"Click “Log out”"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"Who will find the information useful?&nbsp;"	""	"S"	"1"	"40"	"0"	"0"	"0"	"0"
"A"	"1"	"A technician"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"A camcorder user"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"A seller"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"A teller"	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"The followng words are the synonyms of schedule, EXCEPT...&nbsp;"	""	"S"	"1"	"41"	"0"	"0"	"0"	"0"
"A"	"1"	"Program"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Timetable"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Scheme"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Design"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"What time is it to do the activity together outside the building?&nbsp;"	""	"S"	"1"	"42"	"0"	"0"	"0"	"0"
"A"	"1"	"10:30 a.m"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"11:00 a.m."	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"02:00 p.m."	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"03:00 p.m."	""	"0"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
"Q"	"1"	"The schedule can be changed due to____EXCEPT....&nbsp;"	""	"S"	"1"	"43"	"0"	"0"	"0"	"0"
"A"	"1"	"Population"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Ration"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Weather condition"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"time"	""	"1"	"4"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
