"M=MODULE"	"module_enabled"	"module_name"	""	""	""	""	""	""	""	""
"Q"	"1"	"Diketahui α dan β merupakan akar-akar persamaan kuadratx^2 – 3 x – 4 = 0. Persamaan Kuadrat baru yang akar akarnya (α + 2) dan (β + 2 ) adalah:&nbsp;"	""	"S"	"1"	"5"	"0"	"0"	"0"	"0"
"A"	"1"	"x^2  – 6 x + 7 = 0 "	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"x^2  + 7 x – 6 = 0"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"x^2  – 7 x + 6 = 0"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"x^2  – x + 2 = 0  "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"x^2  + x – 2 = 0  "	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Jikax_1 dan x_2merupakan akar-akar dari persamaan kuadrat 2 x2 – 6 x – 8 = 0, nilai       dari    (x_1  + x_2 )^2  – 2 x_1 x_2    adalah …&nbsp;"	""	"S"	"1"	"6"	"0"	"0"	"0"	"0"
"A"	"1"	"-1"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"1"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"10"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"17"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"22"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Himpunan penyelesaian dari pertidaksamaan kuadrat  x^2  – 2 x – 15 ≥ 0, untuk x ∈ R Adalah:&nbsp;"	""	"S"	"1"	"7"	"0"	"0"	"0"	"0"
"A"	"1"	"{ ├ x┤|  –3  ≤  x ≤ 5,x ∈ R}"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"{ ├ x┤|  3  ≤  x ≤ 5,x ∈ R}"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"{├ x┤|x ≤ –3  atau  x ≥ 5,x ∈ R}"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"{ ├ x┤|x ≥ 3  atau  x ≤ 3,x ∈ R}"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"{ ├ x┤|x ≤ –3  atau  x ≤ 5,x ∈ R}"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui matriks A= [■(1&-2&3@2&0&-3@-1&5&4)],B=[■(3&1&-2@-2&4&3@1&2&3)] dan A + B = C. Nilai determinan dari matriks C adalah ….&nbsp;"	""	"S"	"1"	"8"	"0"	"0"	"0"	"0"
"A"	"1"	"-96"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"-92"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"92"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"-92"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"112"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Invers dari matriks   (■(1&-2@3&-7))    adalah&nbsp;"	""	"S"	"1"	"9"	"0"	"0"	"0"	"0"
"A"	"1"	" (■(-7&3@-2&1))"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	" (■(1&3@-2&-7)) "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"(■(7&-2@3&-1))"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"(■(-7/13&3/13@-2/13&1/13))"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"■(7/13&-3/13@2/13&1/13)"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Determinan dari matriks [■(3&2&4@5&1&7@6&0&2)] adalah…&nbsp;"	""	"S"	"1"	"10"	"0"	"0"	"0"	"0"
"A"	"1"	"46"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"47"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"48"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"49"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"45"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"11. Rumus suku ke n barisan 2,4,6,8,…… adalah:&nbsp;"	""	"S"	"1"	"11"	"0"	"0"	"0"	"0"
"A"	"1"	" U_n=2n"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	" U_n=2n+1"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	" U_n=2n - 1"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	" U_n=2n + 2"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	" U_n=2n + 3"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	" Diketaui suatu deret aritmetika dengan U_3 = 11 dan U_7 = 23. Maka jumlah 6 suku pertama deret tersebut adalah …&nbsp;"	""	"S"	"1"	"12"	"0"	"0"	"0"	"0"
"A"	"1"	"75"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"90"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"100"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"150"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"175"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Suatu barisan geometri diketahui suku ke-2 = 12 dan suku ke-4 = 108. Suku ke-5 barisan tersebut adalah ….&nbsp;"	""	"S"	"1"	"13"	"0"	"0"	"0"	"0"
"A"	"1"	"16"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"204"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"324"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"484"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"972"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Suatu deret geometri diketahui suku pertama 5 dan suku keempat 40, maka jumlah 6 suku pertama adalah ….&nbsp;"	""	"S"	"1"	"14"	"0"	"0"	"0"	"0"
"A"	"1"	"135"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"153"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"235"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"315"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"513"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui suku pertama deret geometri tak hingga = −56. Jika deret tersebut berjumlah −40 maka rasionya adalah ….&nbsp;"	""	"S"	"1"	"15"	"0"	"0"	"0"	"0"
"A"	"1"	"2/7"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"2/5"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"5/7"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"-2/5"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"-2/7"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Jumlah deret geometri 8+6+2+…   adalah:&nbsp;"	""	"S"	"1"	"16"	"0"	"0"	"0"	"0"
"A"	"1"	"12"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"28"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"29"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"30"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"26"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Sebuah pesawat terbang komersil memiliki tempat duduk tak lebihdari 30 orang untuk kelas utama dan kelas ekonomi. Di kelasutama, setiap penumpang hanya dapat membawa bagasi 90 kg, sedangkan di kelas ekonomi 45 kg dan kapasitas pesawat untuk bagasi adalah 1800 kg. Harga tiket kelas utama dan kelas ekonomi pesawat tersebut berturut-turut Rp800.000,00dan Rp600.000,00. Pendapatan maksimum yang dapat diperoleh perusahaan penerbangan tersebut dari penjualan tiket adalah ....&nbsp;"	""	"S"	"1"	"17"	"0"	"0"	"0"	"0"
"A"	"1"	"Rp16.000.000,00"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"Rp18.000.000,00 "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"Rp20.000.000,00 "	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"Rp24.000.000,00     "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"Rp32.000.000,00"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Sistem pertidaksamaan linear yang memenuhi untuk daerah  penyelesaian (daerah  yang diarsir) pada sketsa grafik di bawah adalah ....&nbsp;"	""	"S"	"1"	"18"	"0"	"0"	"0"	"0"
"A"	"1"	"5x + 6 y ≥ 30 ; x – y ≥ 1 ; x ≤ 4 ; y ≥ 0 "	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"5x + 6 y ≤ 30 ; x – y ≥ 1 ; x ≤ 4 ; y ≥ 0 "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≥ 30 ; x + y ≥ 1 ; x ≤ 4 ; y ≤ 0 "	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≤ 30 ; x + y ≥ 1 ; x ≥ 4 ; y ≤ 0 "	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"5x – 6 y ≥ 30 ; x + y ≤ 1 ; x ≥ 4 ; y ≤ 0"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	" Nilai maksimum darifungsi obyektiff(x) = 2x + 3y yang memenuhi sistem pertidaksamaan: x + 2y ≤ 10 ; x + y ≤ 7 ; x ≥ 0; y ≥ 0 dan x,y ∈ bilangan real adalah ....&nbsp;"	""	"S"	"1"	"19"	"0"	"0"	"0"	"0"
"A"	"1"	"14"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"15"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"16"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"17"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"18"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui nilai Cos A = 1/2, maka  nilai tangen 300o adalah :&nbsp;"	""	"S"	"1"	"20"	"0"	"0"	"0"	"0"
"A"	"1"	"1/2"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"1/2 √2  "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"-√3  "	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"( 1)/2 √5"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"- 1/2 √2"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Sebuah tiang bendera yang tingginya 8m diikatkan tambang dan tambang tersebut ditarik. Dengan kemiringan sudut〖 30〗^0 maka panjang tambangnya adalah:
&nbsp;"	""	"S"	"1"	"21"	"0"	"0"	"0"	"0"
"A"	"1"	"15 m"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"16 m"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"17 m"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"18 m"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"19 m"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"<img src='../../cache/upload/Matematika/Ujian Sekolah/gambar22.jpg'><br/>Diketahui segitiga ABC dengan sudut A = 30^0 dan sudut B = 45^0dan sisi b = 10 cm. Maka panjang sisi a adalah:&nbsp;"	""	"S"	"1"	"22"	"0"	"0"	"0"	"0"
"A"	"1"	"5√2"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"5√3"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"5√5"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"2√2"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"3√2"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Jika diketahui panjang a=10 cm panjang b= 12 cm dan Sudut C = 60^0maka panjang sisi ketiganya adalah:&nbsp;"	""	"S"	"1"	"23"	"0"	"0"	"0"	"0"
"A"	"1"	"√120  cm"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"√124 cm"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"√125 cm"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	" √200 cm"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"√244 cm"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	" Luas segitiga jika diketahui panjang a=12cm panjang b=10 cm dan besar sudut C = 30^o adalah:&nbsp;"	""	"S"	"1"	"24"	"0"	"0"	"0"	"0"
"A"	"1"	"30 cm"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"96 cm "	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"106 cm"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"192,5 cm"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"220,5 cm"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui segitiga ABC dengan titikA(1,1) titik B(4,1) dan titik C(3,4) dicerminkan terhadap garis X= 3 dilanjutkan dengan ditranslasikan oleh T(3¦2) maka bayangan titik A Adalah:
&nbsp;"	""	"S"	"1"	"25"	"0"	"0"	"0"	"0"
"A"	"1"	"(8,3)"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"(6,6)"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"(3,3)"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"(3,6)"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"(3,2)"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	" Titik A(3,2) didilatisakan dengan pusat (0,0) dengan factor skala 2 kemudian dirotasikan
Sejauh90^0 maka koordinat  bayangan titik A adalah:
&nbsp;"	""	"S"	"1"	"26"	"0"	"0"	"0"	"0"
"A"	"1"	"(-1, 3)"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"(1, 3)"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"(-1, -3)"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"(3, 1)"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"(-4, 6)"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Perhatikan diagram berikut! Maka dari diagram terlihat pendidikan yang ditempuh oleh perempuan paling banyak adalah:&nbsp;"	""	"S"	"1"	"27"	"0"	"0"	"0"	"0"
"A"	"1"	"SD"	""	"1"	"1"	""	""	""	""	""
"A"	"1"	"SMP"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"SMA"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"SMK"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"S-1"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui data berikut! Modus untuk  data tersebut adalah:&nbsp;"	""	"S"	"1"	"28"	"0"	"0"	"0"	"0"
"A"	"1"	"46,3"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"46,8"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"47,5"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"48,0"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"49,3"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Data tinggi badan dari 50 siswa disajikan sbb: Median dari data tersebut adalah…..&nbsp;"	""	"S"	"1"	"29"	"0"	"0"	"0"	"0"
"A"	"1"	"157,33"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"157,50"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"157,83"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"158,33"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"158,00"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui data sbb: 
    P_5 dari data tersebut adalah :&nbsp;"	""	"S"	"1"	"30"	"0"	"0"	"0"	"0"
"A"	"1"	"1"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"2"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"3"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"4"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"5"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Dari 60 buah data diketaui data tertinggi 62 dan terendah 27. Jika data tersebut disusun dalam distribusi frekuensi dengan bantuan Aturan Sturges, maka interval (panjangkelas) adalah …. (log 60 = 1,778)&nbsp;"	""	"S"	"1"	"31"	"0"	"0"	"0"	"0"
"A"	"1"	"4"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"5"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"7"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"9"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"10"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Nilai rata-rata ulangan matematika dari 7 siswa adalah 7,4.Jika digabung dengan nilai ulangan matematika seorang siswa bernama ana.maka rata-ratanya menjadi 7,5.nilai ulangan ana  adalah….&nbsp;"	""	"S"	"1"	"32"	"0"	"0"	"0"	"0"
"A"	"1"	"7,41"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"7,45"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"8,20"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"8,47"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"9,20"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui  nlai ulangan 5 orang siswa sebagai berikut 3,4,6,6,8. Rata – rata harmonis dari  data tersebut adalah …&nbsp;"	""	"S"	"1"	"33"	"0"	"0"	"0"	"0"
"A"	"1"	"24/25"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"25/24"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"120/25"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"125/24"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"120/5"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"simpangan baku dari data 2,3,5,7,8 adalah:&nbsp;"	""	"S"	"1"	"34"	"0"	"0"	"0"	"0"
"A"	"1"	"√5"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"√5,3"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"√5,5"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"√5,4"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"√5,2"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui data 7,5,6,3,8,7. Simpangan rata-rata dari data tersebut adalah :
&nbsp;"	""	"S"	"1"	"35"	"0"	"0"	"0"	"0"
"A"	"1"	"1,33"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"1,32"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"1,23"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"1,22"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"1,44"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Hitung  nilai  dari           (_^5)log⁡4  + (_^5)log⁡150   -  (_^5)log⁡24 &nbsp;"	""	"S"	"1"	"36"	"0"	"0"	"0"	"0"
"A"	"1"	"2"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"1"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"3"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"4"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"5"	""	"1"	"5"	""	""	""	""	""
"Q"	"1"	"Amir, Budi, danDonibersama-samaberbelanja di sebuah took pakaian mereka membeli kemeja dan celana dari jenis yang sama. Amir membeli 3 kemejadan 2 celanaseharga
        Rp240.000,00, sedangkan Budi membeli 2 kemejadan 2 celanaseharga Rp200.000,00. Jik
        Doni membeli 1 kemeja dan 2 celana maka uang yang harus dibayar Donia dalah ….
&nbsp;"	""	"S"	"1"	"37"	"0"	"0"	"0"	"0"
"A"	"1"	"200000"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"300000"	""	"1"	"2"	""	""	""	""	""
"A"	"1"	"250000"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"160000"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"350000"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Tentukan  Invers dari  matriks        (■(1&-2@3&-7)) &nbsp;"	""	"S"	"1"	"38"	"0"	"0"	"0"	"0"
"A"	"1"	"(■(7&-2@3&-7))"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"■(2&1@1&1)"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"■(7&-2@3&-1)"	""	"1"	"3"	""	""	""	""	""
"A"	"1"	"■(1&1@1&1)"	""	"0"	"4"	""	""	""	""	""
"A"	"1"	"■(4&2@1&5)"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diketahui suatu deret aritmetika dengan U_3 = 11 dan U_7 = 23. Tentukan suku ke 5 !&nbsp;"	""	"S"	"1"	"39"	"0"	"0"	"0"	"0"
"A"	"1"	"12"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"13"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"17"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"10"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"4"	""	"0"	"5"	""	""	""	""	""
"Q"	"1"	"Diagram di samping menunjukkan data dari 72 orang anak yang gemar
        Pada suatu mata pelajaran. Banyak
        anak yang gemar mata  pelajaran
        matematika   adalah …
&nbsp;"	""	"S"	"1"	"40"	"0"	"0"	"0"	"0"
"A"	"1"	"10"	""	"0"	"1"	""	""	""	""	""
"A"	"1"	"20"	""	"0"	"2"	""	""	""	""	""
"A"	"1"	"30"	""	"0"	"3"	""	""	""	""	""
"A"	"1"	"40"	""	"1"	"4"	""	""	""	""	""
"A"	"1"	"50"	""	"0"	"5"	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""
